id,Nummer,Dunkelbier,Pils,Weissbier,FünfProzent,NullProzent,Glasflasche,Dose,Plastikflasche,FünfundsiebzigCent,FünfzigCent,EinEuro,Produktname,Preference
1,1,1,0,0,1,0,1,0,0,0,1,0,1,8
1,2,0,0,1,1,0,0,1,0,1,0,0,2,7
1,3,1,0,0,1,0,0,0,1,0,0,1,3,4
1,4,0,1,0,0,1,0,0,1,1,0,0,4,3
1,5,0,0,1,0,1,0,1,0,0,1,0,5,2
1,6,0,1,0,0,1,1,0,0,0,0,1,6,10
1,7,0,0,1,0,1,0,1,0,1,0,0,7,5
1,8,1,0,0,0,1,0,0,1,1,0,0,8,1
1,9,0,1,0,0,1,0,1,0,1,0,0,9,9
1,10,0,1,0,1,0,1,0,0,0,0,1,10,6
2,1,1,0,0,1,0,1,0,0,0,1,0,1,9
2,2,0,0,1,1,0,0,1,0,1,0,0,2,7
2,3,1,0,0,1,0,0,0,1,0,0,1,3,5
2,4,0,1,0,0,1,0,0,1,1,0,0,4,3
2,5,0,0,1,0,1,0,1,0,0,1,0,5,2
2,6,0,1,0,0,1,1,0,0,0,0,1,6,1
2,7,0,0,1,0,1,0,1,0,1,0,0,7,6
2,8,1,0,0,0,1,0,0,1,1,0,0,8,4
2,9,0,1,0,0,1,0,1,0,1,0,0,9,8
2,10,0,1,0,1,0,1,0,0,0,0,1,10,10
3,1,1,0,0,1,0,1,0,0,0,1,0,1,6
3,2,0,0,1,1,0,0,1,0,1,0,0,2,3
3,3,1,0,0,1,0,0,0,1,0,0,1,3,2
3,4,0,1,0,0,1,0,0,1,1,0,0,4,10
3,5,0,0,1,0,1,0,1,0,0,1,0,5,8
3,6,0,1,0,0,1,1,0,0,0,0,1,6,7
3,7,0,0,1,0,1,0,1,0,1,0,0,7,5
3,8,1,0,0,0,1,0,0,1,1,0,0,8,9
3,9,0,1,0,0,1,0,1,0,1,0,0,9,4
3,10,0,1,0,1,0,1,0,0,0,0,1,10,1
4,1,1,0,0,1,0,1,0,0,0,1,0,1,7
4,2,0,0,1,1,0,0,1,0,1,0,0,2,4
4,3,1,0,0,1,0,0,0,1,0,0,1,3,10
4,4,0,1,0,0,1,0,0,1,1,0,0,4,6
4,5,0,0,1,0,1,0,1,0,0,1,0,5,5
4,6,0,1,0,0,1,1,0,0,0,0,1,6,3
4,7,0,0,1,0,1,0,1,0,1,0,0,7,2
4,8,1,0,0,0,1,0,0,1,1,0,0,8,1
4,9,0,1,0,0,1,0,1,0,1,0,0,9,9
4,10,0,1,0,1,0,1,0,0,0,0,1,10,8
5,1,1,0,0,1,0,1,0,0,0,1,0,1,6
5,2,0,0,1,1,0,0,1,0,1,0,0,2,4
5,3,1,0,0,1,0,0,0,1,0,0,1,3,3
5,4,0,1,0,0,1,0,0,1,1,0,0,4,2
5,5,0,0,1,0,1,0,1,0,0,1,0,5,9
5,6,0,1,0,0,1,1,0,0,0,0,1,6,5
5,7,0,0,1,0,1,0,1,0,1,0,0,7,1
5,8,1,0,0,0,1,0,0,1,1,0,0,8,10
5,9,0,1,0,0,1,0,1,0,1,0,0,9,7
5,10,0,1,0,1,0,1,0,0,0,0,1,10,8
6,1,1,0,0,1,0,1,0,0,0,1,0,1,9
6,2,0,0,1,1,0,0,1,0,1,0,0,2,5
6,3,1,0,0,1,0,0,0,1,0,0,1,3,2
6,4,0,1,0,0,1,0,0,1,1,0,0,4,8
6,5,0,0,1,0,1,0,1,0,0,1,0,5,7
6,6,0,1,0,0,1,1,0,0,0,0,1,6,6
6,7,0,0,1,0,1,0,1,0,1,0,0,7,4
6,8,1,0,0,0,1,0,0,1,1,0,0,8,3
6,9,0,1,0,0,1,0,1,0,1,0,0,9,1
6,10,0,1,0,1,0,1,0,0,0,0,1,10,10
7,1,1,0,0,1,0,1,0,0,0,1,0,1,6
7,2,0,0,1,1,0,0,1,0,1,0,0,2,4
7,3,1,0,0,1,0,0,0,1,0,0,1,3,3
7,4,0,1,0,0,1,0,0,1,1,0,0,4,2
7,5,0,0,1,0,1,0,1,0,0,1,0,5,9
7,6,0,1,0,0,1,1,0,0,0,0,1,6,8
7,7,0,0,1,0,1,0,1,0,1,0,0,7,5
7,8,1,0,0,0,1,0,0,1,1,0,0,8,10
7,9,0,1,0,0,1,0,1,0,1,0,0,9,1
7,10,0,1,0,1,0,1,0,0,0,0,1,10,7
8,1,1,0,0,1,0,1,0,0,0,1,0,1,10
8,2,0,0,1,1,0,0,1,0,1,0,0,2,8
8,3,1,0,0,1,0,0,0,1,0,0,1,3,6
8,4,0,1,0,0,1,0,0,1,1,0,0,4,1
8,5,0,0,1,0,1,0,1,0,0,1,0,5,7
8,6,0,1,0,0,1,1,0,0,0,0,1,6,5
8,7,0,0,1,0,1,0,1,0,1,0,0,7,3
8,8,1,0,0,0,1,0,0,1,1,0,0,8,2
8,9,0,1,0,0,1,0,1,0,1,0,0,9,9
8,10,0,1,0,1,0,1,0,0,0,0,1,10,4
9,1,1,0,0,1,0,1,0,0,0,1,0,1,5
9,2,0,0,1,1,0,0,1,0,1,0,0,2,4
9,3,1,0,0,1,0,0,0,1,0,0,1,3,3
9,4,0,1,0,0,1,0,0,1,1,0,0,4,2
9,5,0,0,1,0,1,0,1,0,0,1,0,5,1
9,6,0,1,0,0,1,1,0,0,0,0,1,6,8
9,7,0,0,1,0,1,0,1,0,1,0,0,7,6
9,8,1,0,0,0,1,0,0,1,1,0,0,8,9
9,9,0,1,0,0,1,0,1,0,1,0,0,9,7
9,10,0,1,0,1,0,1,0,0,0,0,1,10,10
10,1,1,0,0,1,0,1,0,0,0,1,0,1,6
10,2,0,0,1,1,0,0,1,0,1,0,0,2,3
10,3,1,0,0,1,0,0,0,1,0,0,1,3,9
10,4,0,1,0,0,1,0,0,1,1,0,0,4,8
10,5,0,0,1,0,1,0,1,0,0,1,0,5,7
10,6,0,1,0,0,1,1,0,0,0,0,1,6,5
10,7,0,0,1,0,1,0,1,0,1,0,0,7,4
10,8,1,0,0,0,1,0,0,1,1,0,0,8,2
10,9,0,1,0,0,1,0,1,0,1,0,0,9,1
10,10,0,1,0,1,0,1,0,0,0,0,1,10,10
11,1,1,0,0,1,0,1,0,0,0,1,0,1,10
11,2,0,0,1,1,0,0,1,0,1,0,0,2,9
11,3,1,0,0,1,0,0,0,1,0,0,1,3,6
11,4,0,1,0,0,1,0,0,1,1,0,0,4,3
11,5,0,0,1,0,1,0,1,0,0,1,0,5,2
11,6,0,1,0,0,1,1,0,0,0,0,1,6,1
11,7,0,0,1,0,1,0,1,0,1,0,0,7,8
11,8,1,0,0,0,1,0,0,1,1,0,0,8,7
11,9,0,1,0,0,1,0,1,0,1,0,0,9,5
11,10,0,1,0,1,0,1,0,0,0,0,1,10,4
12,1,1,0,0,1,0,1,0,0,0,1,0,1,10
12,2,0,0,1,1,0,0,1,0,1,0,0,2,5
12,3,1,0,0,1,0,0,0,1,0,0,1,3,3
12,4,0,1,0,0,1,0,0,1,1,0,0,4,2
12,5,0,0,1,0,1,0,1,0,0,1,0,5,9
12,6,0,1,0,0,1,1,0,0,0,0,1,6,6
12,7,0,0,1,0,1,0,1,0,1,0,0,7,1
12,8,1,0,0,0,1,0,0,1,1,0,0,8,8
12,9,0,1,0,0,1,0,1,0,1,0,0,9,4
12,10,0,1,0,1,0,1,0,0,0,0,1,10,7
13,1,1,0,0,1,0,1,0,0,0,1,0,1,9
13,2,0,0,1,1,0,0,1,0,1,0,0,2,8
13,3,1,0,0,1,0,0,0,1,0,0,1,3,3
13,4,0,1,0,0,1,0,0,1,1,0,0,4,1
13,5,0,0,1,0,1,0,1,0,0,1,0,5,10
13,6,0,1,0,0,1,1,0,0,0,0,1,6,7
13,7,0,0,1,0,1,0,1,0,1,0,0,7,2
13,8,1,0,0,0,1,0,0,1,1,0,0,8,6
13,9,0,1,0,0,1,0,1,0,1,0,0,9,5
13,10,0,1,0,1,0,1,0,0,0,0,1,10,4
